"isActive","isRookie","namePlayer","idPlayer","countSeasons","yearSeasonFirst","yearSeasonLast","idTeam","hasGamesPlayedFlag","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","hasHeadShot","hasThumbnail","hasAction","urlPlayerPhoto"
"1","1","Precious Achiuwa","1630173.0","0.0","2020.0","2020.0","1610612748.0","0","https://stats.nba.com/player/1630173","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630173.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630173.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","","","","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"0","0","Alex Acker","101165.0","3.0","2005.0","2008.0","","0","https://stats.nba.com/player/101165","https://stats.nba.com/media/players/230x185/101165.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101165.png","https://stats.nba.com/media/players/700/101165.png","0","1","1","https://stats.nba.com/media/players/230x185/101165.png"
"0","0","Donald Ackerman","76008.0","0.0","1953.0","1953.0","","0","https://stats.nba.com/player/76008","https://stats.nba.com/media/players/230x185/76008.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76008.png","https://stats.nba.com/media/players/700/76008.png","0","1","1","https://stats.nba.com/media/players/230x185/76008.png"
"0","0","Mark Acres","76009.0","5.0","1987.0","1992.0","","0","https://stats.nba.com/player/76009","https://stats.nba.com/media/players/230x185/76009.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76009.png","https://stats.nba.com/media/players/700/76009.png","0","1","1","https://stats.nba.com/media/players/230x185/76009.png"
"0","0","Charles Acton","76010.0","0.0","1967.0","1967.0","","0","https://stats.nba.com/player/76010","https://stats.nba.com/media/players/230x185/76010.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76010.png","https://stats.nba.com/media/players/700/76010.png","0","1","1","https://stats.nba.com/media/players/230x185/76010.png"
"0","0","Quincy Acy","203112.0","6.0","2012.0","2018.0","","0","https://stats.nba.com/player/203112","https://stats.nba.com/media/players/230x185/203112.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203112.png","https://stats.nba.com/media/players/700/203112.png","1","1","1","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203112.png"
"0","0","Alvan Adams","76011.0","12.0","1975.0","1987.0","","0","https://stats.nba.com/player/76011","https://stats.nba.com/media/players/230x185/76011.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76011.png","https://stats.nba.com/media/players/700/76011.png","0","1","1","https://stats.nba.com/media/players/230x185/76011.png"
"0","0","Don Adams","76012.0","6.0","1970.0","1976.0","","0","https://stats.nba.com/player/76012","https://stats.nba.com/media/players/230x185/76012.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76012.png","https://stats.nba.com/media/players/700/76012.png","0","1","1","https://stats.nba.com/media/players/230x185/76012.png"
"0","0","Hassan Adams","200801.0","2.0","2006.0","2008.0","","0","https://stats.nba.com/player/200801","https://stats.nba.com/media/players/230x185/200801.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200801.png","https://stats.nba.com/media/players/700/200801.png","0","1","1","https://stats.nba.com/media/players/230x185/200801.png"
"0","0","Jaylen Adams","1629121.0","2.0","2018.0","2020.0","","0","https://stats.nba.com/player/1629121","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629121.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629121.png","https://stats.nba.com/media/players/700/1629121.png","1","1","1","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629121.png"
"0","0","Jordan Adams","203919.0","1.0","2014.0","2015.0","","0","https://stats.nba.com/player/203919","https://stats.nba.com/media/players/230x185/203919.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203919.png","https://stats.nba.com/media/players/700/203919.png","1","1","1","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203919.png"
"0","0","Michael Adams","149.0","10.0","1985.0","1995.0","","0","https://stats.nba.com/player/149","https://stats.nba.com/media/players/230x185/149.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/149.png","https://stats.nba.com/media/players/700/149.png","0","1","1","https://stats.nba.com/media/players/230x185/149.png"
"1","0","Steven Adams","203500.0","7.0","2013.0","2020.0","1610612740.0","0","https://stats.nba.com/player/203500","https://stats.nba.com/media/players/230x185/203500.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png","https://stats.nba.com/media/players/700/203500.png","1","1","1","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png"
"0","0","Rafael Addison","912.0","10.0","1986.0","1996.0","","0","https://stats.nba.com/player/912","https://stats.nba.com/media/players/230x185/912.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/912.png","https://stats.nba.com/media/players/700/912.png","0","1","1","https://stats.nba.com/media/players/230x185/912.png"
"1","0","Bam Adebayo","1628389.0","3.0","2017.0","2020.0","1610612748.0","0","https://stats.nba.com/player/1628389","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png","https://stats.nba.com/media/players/700/1628389.png","1","1","0","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png"
"0","0","Deng Adel","1629061.0","0.0","2018.0","2018.0","","0","https://stats.nba.com/player/1629061","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629061.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629061.png","https://stats.nba.com/media/players/700/1629061.png","1","1","1","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629061.png"
"0","0","Rick Adelman","76015.0","6.0","1968.0","1974.0","","0","https://stats.nba.com/player/76015","https://stats.nba.com/media/players/230x185/76015.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76015.png","https://stats.nba.com/media/players/700/76015.png","0","1","1","https://stats.nba.com/media/players/230x185/76015.png"
